Jenis Usaha;Provinsi;Jenis Ikan;Tahun;Volume Produksi;Nilai Produksi
BUDIDAYA;JAWA TIMUR;BANDENG;2019;171360.75;3247571175
BUDIDAYA;JAWA TIMUR;BANDENG;2020;143078.53;3976059546
BUDIDAYA;KALIMANTAN BARAT;BANDENG;2010;2826;59346000
BUDIDAYA;KALIMANTAN BARAT;BANDENG;2011;2937.29;52871220
BUDIDAYA;KALIMANTAN BARAT;BANDENG;2012;6304.51;132394710
BUDIDAYA;KALIMANTAN BARAT;BANDENG;2013;4226.16;83347840
BUDIDAYA;KALIMANTAN BARAT;BANDENG;2014;9372.72;224945280
BUDIDAYA;KALIMANTAN BARAT;BANDENG;2015;15255.31;324417740
BUDIDAYA;KALIMANTAN BARAT;BANDENG;2016;14575;317417620
BUDIDAYA;KALIMANTAN BARAT;BANDENG;2017;761.11;12931986
BUDIDAYA;KALIMANTAN BARAT;BANDENG;2018;16013.45;461145923
BUDIDAYA;KALIMANTAN BARAT;BANDENG;2019;13464.31;358641705
BUDIDAYA;KALIMANTAN BARAT;BANDENG;2020;14620.58;526712466
BUDIDAYA;KALIMANTAN SELATAN;BANDENG;2010;10238.5;66373614
BUDIDAYA;KALIMANTAN SELATAN;BANDENG;2011;14787.6;251389200
BUDIDAYA;KALIMANTAN SELATAN;BANDENG;2012;17831.5;374461500
BUDIDAYA;KALIMANTAN SELATAN;BANDENG;2013;18413.9;355380610
BUDIDAYA;KALIMANTAN SELATAN;BANDENG;2014;20488.1;400834488
BUDIDAYA;KALIMANTAN SELATAN;BANDENG;2015;25565.2;433991900
BUDIDAYA;KALIMANTAN SELATAN;BANDENG;2016;25421.03;431549070
BUDIDAYA;KALIMANTAN SELATAN;BANDENG;2017;26744.63;454418008
BUDIDAYA;KALIMANTAN SELATAN;BANDENG;2018;26822.4;596683056
BUDIDAYA;KALIMANTAN SELATAN;BANDENG;2019;14368.29;285063176
BUDIDAYA;KALIMANTAN SELATAN;BANDENG;2020;24989.62;710293087
BUDIDAYA;KALIMANTAN TENGAH;BANDENG;2010;1782.15;18296015
BUDIDAYA;KALIMANTAN TENGAH;BANDENG;2011;3213.78;35351580
BUDIDAYA;KALIMANTAN TENGAH;BANDENG;2012;4854.38;101941980
BUDIDAYA;KALIMANTAN TENGAH;BANDENG;2013;6936.73;77194453
BUDIDAYA;KALIMANTAN TENGAH;BANDENG;2014;8637.27;101228452
BUDIDAYA;KALIMANTAN TENGAH;BANDENG;2015;10384.51;124614120
BUDIDAYA;KALIMANTAN TENGAH;BANDENG;2016;11190;167850000
BUDIDAYA;KALIMANTAN TENGAH;BANDENG;2017;33997.07;577644233
BUDIDAYA;KALIMANTAN TENGAH;BANDENG;2018;13581.83;205079993
BUDIDAYA;KALIMANTAN TENGAH;BANDENG;2019;13496;267906681
BUDIDAYA;KALIMANTAN TENGAH;BANDENG;2020;10574.21;240006250
BUDIDAYA;KALIMANTAN TIMUR;BANDENG;2010;17316.9;154871202
BUDIDAYA;KALIMANTAN TIMUR;BANDENG;2011;23821.2;490384600
BUDIDAYA;KALIMANTAN TIMUR;BANDENG;2012;25744.6;514892000
BUDIDAYA;KALIMANTAN TIMUR;BANDENG;2013;18133.9;356231244
BUDIDAYA;KALIMANTAN TIMUR;BANDENG;2014;14755;314936236
BUDIDAYA;KALIMANTAN TIMUR;BANDENG;2015;5927.97;113760500
BUDIDAYA;KALIMANTAN TIMUR;BANDENG;2016;9669.8;114181347
BUDIDAYA;KALIMANTAN TIMUR;BANDENG;2017;29267.32;497280949
BUDIDAYA;KALIMANTAN TIMUR;BANDENG;2018;12504.76;196739355
BUDIDAYA;KALIMANTAN TIMUR;BANDENG;2019;17316.38;277266991
BUDIDAYA;KALIMANTAN TIMUR;BANDENG;2020;7644.86;187057024
BUDIDAYA;KALIMANTAN UTARA;BANDENG;2010;0;0
BUDIDAYA;KALIMANTAN UTARA;BANDENG;2011;0;0
BUDIDAYA;KALIMANTAN UTARA;BANDENG;2012;0;0
BUDIDAYA;KALIMANTAN UTARA;BANDENG;2015;4194.77;53904700
BUDIDAYA;KALIMANTAN UTARA;BANDENG;2016;3427.22;51248200
BUDIDAYA;KALIMANTAN UTARA;BANDENG;2017;4821.99;81930466
BUDIDAYA;KALIMANTAN UTARA;BANDENG;2018;4041.43;71546146
BUDIDAYA;KALIMANTAN UTARA;BANDENG;2019;4481.31;83724628
BUDIDAYA;KALIMANTAN UTARA;BANDENG;2020;3735.73;86292135
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;BANDENG;2010;69.33;1276694
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;BANDENG;2011;22.7;408,6
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;BANDENG;2012;42.19;527,375
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;BANDENG;2013;15.51;302,25
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;BANDENG;2014;47.81;956
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;BANDENG;2015;12.65;253
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;BANDENG;2016;0.03;750
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;BANDENG;2018;0.12;2,999
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;BANDENG;2019;5.09;103,05
