Jenis Usaha;Provinsi;Jenis Ikan;Tahun;Volume Produksi;Nilai Produksi
BUDIDAYA;KALIMANTAN TENGAH;LELE;2010;616.25;7683461
BUDIDAYA;KALIMANTAN TENGAH;LELE;2011;1128.65;13580340
BUDIDAYA;KALIMANTAN TENGAH;LELE;2012;1718.14;27490240
BUDIDAYA;KALIMANTAN TENGAH;LELE;2013;1115.21;16462803
BUDIDAYA;KALIMANTAN TENGAH;LELE;2014;1594.78;24404802
BUDIDAYA;KALIMANTAN TENGAH;LELE;2015;2096.33;33607600
BUDIDAYA;KALIMANTAN TENGAH;LELE;2016;2878.39;64096772
BUDIDAYA;KALIMANTAN TENGAH;LELE;2017;4975.41;86422889
BUDIDAYA;KALIMANTAN TENGAH;LELE;2018;8053.51;154757666
BUDIDAYA;KALIMANTAN TENGAH;LELE;2019;8225.47;205007409
BUDIDAYA;KALIMANTAN TENGAH;LELE;2020;3409.32;80179613
BUDIDAYA;KALIMANTAN TIMUR;LELE;2010;315.8;6201859
BUDIDAYA;KALIMANTAN TIMUR;LELE;2011;421.1;7579800
BUDIDAYA;KALIMANTAN TIMUR;LELE;2012;456.4;15974000
BUDIDAYA;KALIMANTAN TIMUR;LELE;2013;580.5;12941248
BUDIDAYA;KALIMANTAN TIMUR;LELE;2014;1301.57;25439174
BUDIDAYA;KALIMANTAN TIMUR;LELE;2015;1040.52;20810400
BUDIDAYA;KALIMANTAN TIMUR;LELE;2016;1376.89;29589218
BUDIDAYA;KALIMANTAN TIMUR;LELE;2017;987.46;17152215
BUDIDAYA;KALIMANTAN TIMUR;LELE;2018;2880.61;69919091
BUDIDAYA;KALIMANTAN TIMUR;LELE;2019;1948.94;47947336
BUDIDAYA;KALIMANTAN TIMUR;LELE;2020;1656.72;41359683
BUDIDAYA;KALIMANTAN UTARA;LELE;2010;0;0
BUDIDAYA;KALIMANTAN UTARA;LELE;2011;0;0
BUDIDAYA;KALIMANTAN UTARA;LELE;2012;0;0
BUDIDAYA;KALIMANTAN UTARA;LELE;2015;120.64;2412800
BUDIDAYA;KALIMANTAN UTARA;LELE;2016;1333.56;28275000
BUDIDAYA;KALIMANTAN UTARA;LELE;2017;246.93;4289209
BUDIDAYA;KALIMANTAN UTARA;LELE;2018;88.82;2093101
BUDIDAYA;KALIMANTAN UTARA;LELE;2019;104.59;2868180
BUDIDAYA;KALIMANTAN UTARA;LELE;2020;996.61;25183478
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;LELE;2010;565.17;9033342
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;LELE;2011;734.54;8814480
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;LELE;2012;1100.84;12109240
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;LELE;2013;892.27;16914558
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;LELE;2014;1619.67;32388076
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;LELE;2015;839.07;17743520
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;LELE;2016;1520.79;27043920
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;LELE;2017;1112.98;19332445
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;LELE;2018;1762.02;37137640
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;LELE;2019;1130.77;24526603
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;LELE;2020;1617.28;16390532
BUDIDAYA;KEPULAUAN RIAU;LELE;2010;306;4590000
BUDIDAYA;KEPULAUAN RIAU;LELE;2011;2225;33375000
BUDIDAYA;KEPULAUAN RIAU;LELE;2012;10760.71;193692780
BUDIDAYA;KEPULAUAN RIAU;LELE;2013;10816.09;173411460
BUDIDAYA;KEPULAUAN RIAU;LELE;2014;8233.93;196438044
BUDIDAYA;KEPULAUAN RIAU;LELE;2015;10778.89;165217270
BUDIDAYA;KEPULAUAN RIAU;LELE;2016;7513.47;48501445
BUDIDAYA;KEPULAUAN RIAU;LELE;2017;18283.48;317584100
BUDIDAYA;KEPULAUAN RIAU;LELE;2018;9729.05;190542276
BUDIDAYA;KEPULAUAN RIAU;LELE;2019;12523.19;266863216
BUDIDAYA;KEPULAUAN RIAU;LELE;2020;12536.28;175385026
BUDIDAYA;LAMPUNG;LELE;2010;9096.56;118207512
BUDIDAYA;LAMPUNG;LELE;2011;17533.15;201631210
BUDIDAYA;LAMPUNG;LELE;2012;20484.09;242222886
BUDIDAYA;LAMPUNG;LELE;2013;19290.63;251955323
BUDIDAYA;LAMPUNG;LELE;2014;22847.06;319326352
BUDIDAYA;LAMPUNG;LELE;2015;17654.11;253134927
BUDIDAYA;LAMPUNG;LELE;2016;32071.19;530456150
BUDIDAYA;LAMPUNG;LELE;2017;43354.97;753075742
BUDIDAYA;LAMPUNG;LELE;2018;18861.26;343778273
BUDIDAYA;LAMPUNG;LELE;2019;33094.75;541417550
BUDIDAYA;LAMPUNG;LELE;2020;34078.18;643042148
BUDIDAYA;MALUKU;LELE;2010;0;0
BUDIDAYA;MALUKU;LELE;2011;0;0
BUDIDAYA;MALUKU;LELE;2012;7.8;117
BUDIDAYA;MALUKU;LELE;2013;177.68;4422350
BUDIDAYA;MALUKU;LELE;2014;11.25;393,75
BUDIDAYA;MALUKU;LELE;2015;33.01;1155350
BUDIDAYA;MALUKU;LELE;2016;19.74;690,9
BUDIDAYA;MALUKU;LELE;2017;27.38;475,625
BUDIDAYA;MALUKU;LELE;2018;16.23;448,39
BUDIDAYA;MALUKU;LELE;2019;14.74;429,83
BUDIDAYA;MALUKU;LELE;2020;36.15;1515097
BUDIDAYA;MALUKU UTARA;LELE;2010;5.63;42,225
BUDIDAYA;MALUKU UTARA;LELE;2011;0;0
BUDIDAYA;MALUKU UTARA;LELE;2012;0;0
BUDIDAYA;MALUKU UTARA;LELE;2013;0;0
BUDIDAYA;MALUKU UTARA;LELE;2014;12.45;435,75
BUDIDAYA;MALUKU UTARA;LELE;2015;9.36;327,6
BUDIDAYA;MALUKU UTARA;LELE;2016;4.82;168,7
BUDIDAYA;MALUKU UTARA;LELE;2017;149.26;2592629
BUDIDAYA;MALUKU UTARA;LELE;2018;58.47;1461750
BUDIDAYA;MALUKU UTARA;LELE;2019;58.47;1461750
BUDIDAYA;MALUKU UTARA;LELE;2020;9.72;407,281
BUDIDAYA;NUSA TENGGARA BARAT;LELE;2010;297.06;5050020
